S.NO,Unnamed: 0,Plugin,CVE,CVSS V3 Vector,Severity,IP Address,Protocol,Port,Plugin Name,Synopsis,Description,Solution,See Also,MAC Address,Exploit?,DNS Name,NetBIOS Name,Risk Factor,CVSS V2 Base Score,CVSS V3 Base Score,CVSS V2 Temporal Score,Vuln Publication Date,Patch Publication Date,Plugin Publication Date,Exploit Ease,Plugin Modification Date,Exploit Frameworks,Check Type,Version,Lab name,BU
13,13,10736,,,Info,172.168.20.10,TCP,49152,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
14,14,10736,,,Info,172.168.20.10,TCP,49153,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
15,15,10736,,,Info,172.168.20.10,TCP,49155,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
16,16,10736,,,Info,172.168.20.10,TCP,49176,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
17,17,10736,,,Info,172.168.20.10,TCP,49530,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
18,18,10736,,,Info,172.168.20.10,TCP,49816,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
19,19,10736,,,Info,172.168.20.10,TCP,49820,DCE Services Enumeration,A DCE/RPC service is running on the remote host.,By sending a Lookup request to the portmapper (TCP 135 or epmapper PIPE) it was possible to enumerate the Distributed Computing Environment (DCE) services running on the remote port. Using this information it is possible to connect and bind to each service by sending an RPC request to the remote port/pipe.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Aug 26, 2001 12:00:00 IST",,"Oct 4, 2021 12:00:00 IST",,combined,1.57,Lab1,BU1
20,20,10785,,,Info,172.168.20.10,TCP,445,Microsoft Windows SMB NativeLanManager Remote System Information Disclosure,It was possible to obtain information about the remote operating system.,Nessus was able to obtain the remote operating system name and version (Windows and/or Samba) by sending an authentication request to port 139 or 445. Note that this plugin requires SMB to be enabled on the host.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Oct 17, 2001 12:00:00 IST",,"Sep 20, 2021 12:00:00 IST",,remote,1.54,Lab1,BU1
21,21,10863,,,Info,172.168.20.10,TCP,443,SSL Certificate Information,This plugin displays the SSL certificate.,This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"May 19, 2008 12:00:00 IST",,"Feb 3, 2021 12:00:00 IST",,remote,1.22,Lab1,BU1
22,22,10863,,,Info,172.168.20.10,TCP,636,SSL Certificate Information,This plugin displays the SSL certificate.,This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"May 19, 2008 12:00:00 IST",,"Feb 3, 2021 12:00:00 IST",,remote,1.22,Lab1,BU1
23,23,10863,,,Info,172.168.20.10,TCP,1433,SSL Certificate Information,This plugin displays the SSL certificate.,This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"May 19, 2008 12:00:00 IST",,"Feb 3, 2021 12:00:00 IST",,remote,1.22,Lab1,BU1
24,24,10863,,,Info,172.168.20.10,TCP,1514,SSL Certificate Information,This plugin displays the SSL certificate.,This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"May 19, 2008 12:00:00 IST",,"Feb 3, 2021 12:00:00 IST",,remote,1.22,Lab1,BU1
25,25,10863,,,Info,172.168.20.10,TCP,3389,SSL Certificate Information,This plugin displays the SSL certificate.,This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"May 19, 2008 12:00:00 IST",,"Feb 3, 2021 12:00:00 IST",,remote,1.22,Lab1,BU1
26,26,10863,,,Info,172.168.20.10,TCP,9443,SSL Certificate Information,This plugin displays the SSL certificate.,This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.,,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"May 19, 2008 12:00:00 IST",,"Feb 3, 2021 12:00:00 IST",,remote,1.22,Lab1,BU1
27,27,10940,,,Info,172.168.20.10,TCP,3389,Remote Desktop Protocol Service Detection,The remote host has an remote desktop protocol service enabled.,"The Remote Desktop Protocol allows a user to remotely obtain a graphical login (and therefore act as a local user on the remote host).

If an attacker gains a valid login and password, this service could be used to gain further access on the remote host.  An attacker may also use this service to mount a dictionary attack against the remote host to try to log in remotely.

Note that RDP (the Remote Desktop Protocol) is vulnerable to Man-in-the-middle attacks, making it easy for attackers to steal the credentials of legitimate users by impersonating the Windows server.","Disable the service if you do not use it, and do not allow this service to run across the Internet.",,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Apr 20, 2002 12:00:00 IST",,"Aug 21, 2023 12:00:00 IST",,remote,1.4,Lab1,BU1
28,28,11011,,,Info,172.168.20.10,TCP,139,Microsoft Windows SMB Service Detection,A file / print sharing service is listening on the remote host.,"The remote service understands the CIFS (Common Internet File System) or Server Message Block (SMB) protocol, used to provide shared access to files, printers, etc between nodes on a network.",,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Jun 5, 2002 12:00:00 IST",,"Feb 11, 2021 12:00:00 IST",,remote,1.43,Lab1,BU1
29,29,11011,,,Info,172.168.20.10,TCP,445,Microsoft Windows SMB Service Detection,A file / print sharing service is listening on the remote host.,"The remote service understands the CIFS (Common Internet File System) or Server Message Block (SMB) protocol, used to provide shared access to files, printers, etc between nodes on a network.",,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Jun 5, 2002 12:00:00 IST",,"Feb 11, 2021 12:00:00 IST",,remote,1.43,Lab1,BU1
30,30,11219,,,Info,172.168.20.10,TCP,80,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
31,31,11219,,,Info,172.168.20.10,TCP,81,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
32,32,11219,,,Info,172.168.20.10,TCP,88,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
33,33,11219,,,Info,172.168.20.10,TCP,135,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
34,34,11219,,,Info,172.168.20.10,TCP,139,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
35,35,11219,,,Info,172.168.20.10,TCP,389,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
36,36,11219,,,Info,172.168.20.10,TCP,443,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
37,37,11219,,,Info,172.168.20.10,TCP,445,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
38,38,11219,,,Info,172.168.20.10,TCP,514,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
39,39,11219,,,Info,172.168.20.10,TCP,636,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
40,40,11219,,,Info,172.168.20.10,TCP,1433,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
41,41,11219,,,Info,172.168.20.10,TCP,1514,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
42,42,11219,,,Info,172.168.20.10,TCP,2000,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
43,43,11219,,,Info,172.168.20.10,TCP,2012,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
44,44,11219,,,Info,172.168.20.10,TCP,2014,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
45,45,11219,,,Info,172.168.20.10,TCP,2020,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
46,46,11219,,,Info,172.168.20.10,TCP,2383,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
47,47,11219,,,Info,172.168.20.10,TCP,3389,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
48,48,11219,,,Info,172.168.20.10,TCP,5060,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
49,49,11219,,,Info,172.168.20.10,TCP,7080,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans against broken services, but they might cause problems for less robust firewalls and also leave unclosed connections on the remote target, if the network is loaded.",Protect your target with an IP filter.,,00:50:56:85:6f:e9,No,vcprod31.in.rdlabs.hpecorp.net,WORKGROUP\VCPROD31,,,,,,,"Feb 4, 2009 12:00:00 IST",,"Feb 12, 2025 12:00:00 IST",,remote,1.64,Lab1,BU1
